GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
market-core,market.security,AuthenticationService,24,0,0,0,8,0,2,0,2,0
market-core,market.security,UserDetailsServiceImpl,84,0,4,0,20,0,5,0,3,0
market-core,market,FixturesFactory,171,0,0,0,54,0,11,0,11,0
market-core,market,DataConfig,52,0,0,0,13,0,6,0,6,0
market-core,market,SecurityConfigBase,38,0,0,0,11,0,7,0,7,0
market-core,market.domain,Role,29,0,0,0,11,0,7,0,7,0
market-core,market.domain,CartItem,96,0,8,0,24,0,13,0,9,0
market-core,market.domain,OrderedProduct.Builder,36,0,0,0,12,0,5,0,5,0
market-core,market.domain,Region.Builder,77,0,0,0,26,0,8,0,8,0
market-core,market.domain,Bill,55,0,0,0,23,0,15,0,15,0
market-core,market.domain,Product,192,0,24,0,41,0,33,0,21,0
market-core,market.domain,UserAccount.Builder,129,0,0,0,40,0,12,0,12,0
market-core,market.domain,Role.Roles,34,0,0,0,4,0,1,0,1,0
market-core,market.domain,UserAccount,177,0,22,0,38,0,30,0,19,0
market-core,market.domain,OrderedProductId,72,0,12,0,15,0,13,0,7,0
market-core,market.domain,Contacts.Builder,77,0,0,0,26,0,8,0,8,0
market-core,market.domain,Distillery,100,0,14,0,21,0,18,0,11,0
market-core,market.domain,Cart,212,0,24,0,54,0,32,0,20,0
market-core,market.domain,Product.Builder,135,0,0,0,43,0,12,0,12,0
market-core,market.domain,Order.Builder,95,0,0,0,31,0,11,0,11,0
market-core,market.domain,Order,197,0,24,0,39,0,33,0,21,0
market-core,market.domain,CartItemId,75,0,10,0,17,0,13,0,8,0
market-core,market.domain,Distillery.Builder,64,0,0,0,22,0,7,0,7,0
market-core,market.domain,Cart.Builder,77,0,0,0,22,0,6,0,6,0
market-core,market.domain,Region,129,0,16,0,30,0,22,0,14,0
market-core,market.domain,Contacts,122,0,14,0,31,0,21,0,14,0
market-core,market.domain,Bill.Builder,75,0,0,0,25,0,9,0,9,0
market-core,market.domain,OrderedProduct,110,0,12,0,23,0,17,0,11,0
market-core,market.service.impl,DistilleryServiceImpl,86,0,4,0,24,0,11,0,9,0
market-core,market.service.impl,ProductServiceImpl,190,0,10,0,46,0,20,0,15,0
market-core,market.service.impl,OrderServiceImpl,259,0,16,0,66,0,19,0,11,0
market-core,market.service.impl,RegionServiceImpl,67,0,2,0,17,0,8,0,7,0
market-core,market.service.impl,CartServiceImpl,158,0,12,0,33,0,15,0,9,0
market-core,market.service.impl,ContactsServiceImpl,47,0,2,0,13,0,4,0,3,0
market-core,market.service.impl,UserAccountServiceImpl,46,0,2,0,12,0,4,0,3,0
market-core,market.properties,MarketProperties,9,0,0,0,4,0,2,0,2,0
