GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-multi Coverage Project/jacoco-multi,market.security,CustomAuthenticationSuccessHandler,100,0,10,0,22,0,10,0,5,0
jacoco-multi Coverage Project/jacoco-multi,market.security,AuthenticationService,24,0,0,0,8,0,2,0,2,0
jacoco-multi Coverage Project/jacoco-multi,market.security,UserDetailsServiceImpl,84,0,4,0,20,0,5,0,3,0
jacoco-multi Coverage Project/jacoco-multi,market.controller,CartModelHelper,0,23,0,0,0,7,0,2,0,2
jacoco-multi Coverage Project/jacoco-multi,market.controller,SpringExceptionHandler,66,6,4,0,17,3,7,1,5,1
jacoco-multi Coverage Project/jacoco-multi,market.dto.assembler,ProductDtoAssembler,0,92,0,2,0,23,0,5,0,4
jacoco-multi Coverage Project/jacoco-multi,market.dto.assembler,ContactsDtoAssembler,0,31,0,0,0,9,0,3,0,3
jacoco-multi Coverage Project/jacoco-multi,market.dto.assembler,BillDtoAssembler,0,34,0,0,0,9,0,2,0,2
jacoco-multi Coverage Project/jacoco-multi,market.dto.assembler,OrderDtoAssembler,7,81,1,1,0,16,1,4,0,4
jacoco-multi Coverage Project/jacoco-multi,market.dto.assembler,OrderedProductDtoAssembler,0,25,0,0,0,6,0,2,0,2
jacoco-multi Coverage Project/jacoco-multi,market.dto.assembler,ProductPreviewAssembler,33,0,0,0,8,0,2,0,2,0
jacoco-multi Coverage Project/jacoco-multi,market.dto.assembler,RegionDtoAssembler,0,59,0,0,0,16,0,4,0,4
jacoco-multi Coverage Project/jacoco-multi,market.dto.assembler,UserAccountDtoAssembler,0,64,0,0,0,21,0,3,0,3
jacoco-multi Coverage Project/jacoco-multi,market.dto.assembler,DistilleryDtoAssembler,0,47,0,0,0,12,0,4,0,4
jacoco-multi Coverage Project/jacoco-multi,market.dto.assembler,CartDtoAssembler,26,96,5,1,6,27,3,5,0,5
jacoco-multi Coverage Project/jacoco-multi,market.rest.exception,RestErrorResponse,65,0,0,0,17,0,9,0,9,0
jacoco-multi Coverage Project/jacoco-multi,market.rest.exception,RestExceptionHandler,164,0,6,0,42,0,13,0,10,0
jacoco-multi Coverage Project/jacoco-multi,market.controller.backend,RegionController,4,98,2,2,2,25,2,7,0,7
jacoco-multi Coverage Project/jacoco-multi,market.controller.backend,StorageController,0,76,2,2,0,17,2,3,0,3
jacoco-multi Coverage Project/jacoco-multi,market.controller.backend,ProductController,13,227,3,5,6,48,3,10,0,9
jacoco-multi Coverage Project/jacoco-multi,market.controller.backend,BackendController,0,5,0,0,0,2,0,2,0,2
jacoco-multi Coverage Project/jacoco-multi,market.controller.backend,OrdersController,0,196,0,2,0,41,0,7,0,6
jacoco-multi Coverage Project/jacoco-multi,market.controller.backend,DistilleryController,4,144,2,2,2,34,2,7,0,7
jacoco-multi Coverage Project/jacoco-multi,market.dto,ProductPreviewDTO,50,0,0,0,17,0,12,0,12,0
jacoco-multi Coverage Project/jacoco-multi,market.dto,RegionDTO,46,84,8,8,2,24,10,12,2,12
jacoco-multi Coverage Project/jacoco-multi,market.dto,BillDTO,110,27,18,0,15,13,17,7,8,7
jacoco-multi Coverage Project/jacoco-multi,market.dto,OrderedProductDTO,44,48,6,6,5,11,11,5,5,5
jacoco-multi Coverage Project/jacoco-multi,market.dto,ContactsDTO,25,45,5,5,2,12,7,6,2,6
jacoco-multi Coverage Project/jacoco-multi,market.dto,CartDTO,83,114,12,10,5,32,15,17,4,17
jacoco-multi Coverage Project/jacoco-multi,market.dto,OrderDTO,103,114,13,13,12,29,25,12,12,12
jacoco-multi Coverage Project/jacoco-multi,market.dto,CreditCardDTO,10,10,0,0,4,5,2,3,2,3
jacoco-multi Coverage Project/jacoco-multi,market.dto,DistilleryDTO,42,68,7,7,3,19,10,9,3,9
jacoco-multi Coverage Project/jacoco-multi,market.dto,CartItemDTO,27,45,5,5,2,11,7,6,2,6
jacoco-multi Coverage Project/jacoco-multi,market.dto,UserDTO,44,84,8,8,2,24,10,12,2,12
jacoco-multi Coverage Project/jacoco-multi,market.dto,ProductDTO,75,135,12,12,2,40,14,20,2,20
