2025-01-25 16:19:42,420 INFO  [background-preinit] o.h.v.i.u.Version - HV000001: Hibernate Validator 6.1.7.Final
2025-01-25 16:19:42,471 INFO  [restartedMain] m.RestApplication - Starting RestApplication using Java 11.0.25 on daniela-VirtualBox with PID 82788 (/home/daniela/Downloads/EMB-master/jdk_11_maven/cs/rest-gui/market/market-rest/target/classes started by daniela in /home/daniela/Downloads/EMB-master/jdk_11_maven/cs/rest-gui/market/market-rest)
2025-01-25 16:19:42,473 DEBUG [restartedMain] m.RestApplication - Running with Spring Boot v2.4.3, Spring v5.3.4
2025-01-25 16:19:42,473 INFO  [restartedMain] m.RestApplication - No active profile set, falling back to default profiles: default
2025-01-25 16:19:42,546 WARN  [restartedMain] o.s.b.c.c.ConfigDataEnvironment - Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 34:13]
2025-01-25 16:19:42,546 WARN  [restartedMain] o.s.b.c.c.ConfigDataEnvironment - Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 24:13]
2025-01-25 16:19:42,549 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-01-25 16:19:42,549 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-01-25 16:19:43,205 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-25 16:19:43,293 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 84 ms. Found 8 JPA repository interfaces.
2025-01-25 16:19:43,489 INFO  [restartedMain] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'market.DataConfig' of type [market.DataConfig$$EnhancerBySpringCGLIB$$4b24df1a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
