GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
market-web,market,WebSecurityConfig,94,0,0,0,26,0,3,0,3,0
market-web,market,ServletConfig,24,0,0,0,5,0,2,0,2,0
market-web,market,WebApplication,8,0,0,0,3,0,2,0,2,0
market-web,market.security,CustomAuthenticationSuccessHandler,100,0,10,0,22,0,10,0,5,0
market-web,market.controller,CartModelHelper,0,23,0,0,0,7,0,2,0,2
market-web,market.controller,SpringExceptionHandler,66,6,4,0,17,3,7,1,5,1
market-web,market.controller.backend,BackendController,0,5,0,0,0,2,0,2,0,2
market-web,market.controller.backend,OrdersController,0,196,0,2,0,41,0,7,0,6
market-web,market.controller.backend,StorageController,0,76,2,2,0,17,2,3,0,3
market-web,market.controller.backend,RegionController,4,98,2,2,2,25,2,7,0,7
market-web,market.controller.backend,DistilleryController,4,144,2,2,2,34,2,7,0,7
market-web,market.controller.backend,ProductController,13,227,3,5,6,48,3,10,0,9
market-web,market.properties,PaginationProperties,0,15,0,0,0,6,0,3,0,3
market-web,market.properties,PaginationProperties.Builder,21,0,0,0,6,0,4,0,4,0
market-web,market.controller.frontend,ShowcaseController,0,139,0,2,0,28,0,3,0,2
market-web,market.controller.frontend,CartController,147,189,12,8,36,44,13,10,3,10
market-web,market.controller.frontend,CheckoutController,15,252,4,8,7,53,4,8,0,6
market-web,market.controller.frontend,FrontendController,4,40,0,0,2,11,2,3,2,3
market-web,market.controller.frontend,CustomerController,14,225,4,6,6,51,4,7,0,6
